,Geographic Area,City,poverty_rate
498,AL,Spanish Fort city,7.8
499,AL,Spring Garden CDP,20.7
500,AL,Springville city,9.3
501,AL,Spruce Pine CDP,0.0
502,AL,Standing Rock CDP,0.0
503,AL,Stapleton CDP,7.0
504,AL,Steele town,17.5
505,AL,Sterrett CDP,8.5
506,AL,Stevenson city,24.5
507,AL,Stewartville CDP,17.5
508,AL,Stockton CDP,1.4
509,AL,Sulligent city,26.4
510,AL,Sumiton city,17.6
511,AL,Summerdale town,11.2
512,AL,Susan Moore town,20.6
513,AL,Sweet Water town,1.6
514,AL,Sylacauga city,29.8
515,AL,Sylvania town,17.9
516,AL,Sylvan Springs town,5.3
517,AL,Talladega city,27.2
518,AL,Talladega Springs town,12.5
519,AL,Tallassee city,17.1
520,AL,Tarrant city,31.8
521,AL,Taylor town,19.6
522,AL,Theodore CDP,12.2
523,AL,Thomaston town,18.3
524,AL,Thomasville city,13.3
525,AL,Thorsby town,19.2
526,AL,Tibbie CDP,70.8
527,AL,Tidmore Bend CDP,12.1
528,AL,Tillmans Corner CDP,17.7
529,AL,Town Creek town,29.6
530,AL,Toxey town,33.5
531,AL,Trafford town,29.1
532,AL,Triana town,27.1
533,AL,Trinity town,10.0
534,AL,Troy city,31.1
535,AL,Trussville city,4.7
536,AL,Tuscaloosa city,25.1
537,AL,Tuscumbia city,15.3
538,AL,Tuskegee city,27.6
539,AL,Twin town,16.5
540,AL,Underwood-Petersville CDP,12.9
541,AL,Union town,22.7
542,AL,Union Grove town,6.2
543,AL,Union Springs city,26.8
544,AL,Uniontown town,48.4
545,AL,Uriah CDP,14.7
546,AL,Valley city,18.5
547,AL,Valley Grande city,12.3
548,AL,Valley Head town,23.2
549,AL,Vance town,9.0
550,AL,Vandiver CDP,12.3
551,AL,Vernon city,31.1
552,AL,Vestavia Hills city,4.3
553,AL,Vina town,23.9
554,AL,Vincent town,10.9
555,AL,Vinegar Bend CDP,0.0
556,AL,Vredenburgh town,39.0
557,AL,Wadley town,34.7
558,AL,Waldo town,22.0
559,AL,Walnut Grove town,10.3
560,AL,Warrior city,18.8
561,AL,Waterloo town,18.2
562,AL,Waverly town,10.9
563,AL,Weaver city,5.7
564,AL,Webb town,18.7
565,AL,Wedowee town,26.7
566,AL,Weogufka CDP,43.2
567,AL,West Blocton town,31.6
568,AL,West End-Cobb Town CDP,19.6
569,AL,West Jefferson town,10.2
570,AL,Westover town,13.4
571,AL,West Point town,14.2
572,AL,Wetumpka city,10.7
573,AL,Whatley CDP,
574,AL,White Hall town,42.7
575,AL,White Plains CDP,5.0
576,AL,Whitesboro CDP,25.2
577,AL,Wilsonville town,20.3
578,AL,Wilton town,12.0
579,AL,Winfield city,13.3
580,AL,Woodland town,26.6
581,AL,Woodstock town,13.5
582,AL,Woodville town,25.9
583,AL,Yellow Bluff town,44.1
584,AL,York city,46.8
585,AK,Adak city,39.3
586,AK,Akhiok city,40.5
587,AK,Akiachak CDP,26.1
588,AK,Akiak city,31.3
589,AK,Akutan city,16.1
590,AK,Alakanuk city,44.6
591,AK,Alatna CDP,0.0
592,AK,Alcan Border CDP,0.0
593,AK,Aleknagik city,11.6
594,AK,Aleneva CDP,0.0
595,AK,Allakaket city,9.1
596,AK,Ambler city,21.4
597,AK,Anaktuvuk Pass city,26.3
598,AK,Anchorage municipality,8.2
599,AK,Anchor Point CDP,10.1
600,AK,Anderson city,0.0
601,AK,Angoon city,17.8
602,AK,Aniak city,19.0
603,AK,Anvik city,16.3
604,AK,Arctic Village CDP,36.6
605,AK,Atka city,1.5
606,AK,Atmautluak CDP,25.6
607,AK,Atqasuk city,23.3
608,AK,Attu Station CDP,
609,AK,Badger CDP,4.5
610,AK,Barrow city,11.7
611,AK,Bear Creek CDP,12.7
612,AK,Beaver CDP,30.0
613,AK,Beluga CDP,33.3
614,AK,Bethel city,11.4
615,AK,Bettles city,0.0
616,AK,Big Delta CDP,13.0
617,AK,Big Lake CDP,9.6
618,AK,Birch Creek CDP,100.0
619,AK,Brevig Mission city,57.6
620,AK,Buckland city,24.4
621,AK,Buffalo Soapstone CDP,4.6
622,AK,Butte CDP,9.6
623,AK,Cantwell CDP,9.1
624,AK,Central CDP,5.2
625,AK,Chalkyitsik CDP,36.6
626,AK,Chase CDP,0.0
627,AK,Chefornak city,18.4
628,AK,Chena Ridge CDP,4.9
629,AK,Chenega CDP,34.8
630,AK,Chevak city,32.8
631,AK,Chickaloon CDP,13.5
632,AK,Chicken CDP,
633,AK,Chignik city,0.0
634,AK,Chignik Lagoon CDP,0.0
635,AK,Chignik Lake CDP,8.6
636,AK,Chiniak CDP,0.0
637,AK,Chisana CDP,
638,AK,Chistochina CDP,20.3
639,AK,Chitina CDP,15.0
640,AK,Chuathbaluk city,50.5
641,AK,Circle CDP,63.6
642,AK,Clam Gulch CDP,13.2
643,AK,Clark's Point city,55.4
644,AK,Coffman Cove city,6.0
645,AK,Cohoe CDP,16.0
646,AK,Cold Bay city,0.0
647,AK,Coldfoot CDP,30.0
648,AK,College CDP,8.2
649,AK,Cooper Landing CDP,4.2
650,AK,Copper Center CDP,18.8
651,AK,Cordova city,5.8
652,AK,Covenant Life CDP,0.0
653,AK,Craig city,13.9
654,AK,Crooked Creek CDP,39.8
655,AK,Crown Point CDP,0.0
656,AK,Deering city,14.0
657,AK,Delta Junction city,10.6
658,AK,Deltana CDP,14.9
659,AK,Diamond Ridge CDP,9.2
660,AK,Dillingham city,12.3
661,AK,Diomede city,65.1
662,AK,Dot Lake CDP,
663,AK,Dot Lake Village CDP,25.9
664,AK,Dry Creek CDP,15.5
665,AK,Eagle city,25.8
666,AK,Eagle Village CDP,17.6
667,AK,Edna Bay city,
668,AK,Eek city,21.2
669,AK,Egegik city,17.6
670,AK,Eielson AFB CDP,6.8
671,AK,Ekwok city,28.6
672,AK,Elfin Cove CDP,0.0
673,AK,Elim city,29.3
674,AK,Emmonak city,25.8
675,AK,Ester CDP,9.1
676,AK,Eureka Roadhouse CDP,
677,AK,Evansville CDP,0.0
678,AK,Excursion Inlet CDP,12.5
679,AK,Fairbanks city,13.1
680,AK,False Pass city,5.4
681,AK,Farmers Loop CDP,5.8
682,AK,Farm Loop CDP,4.1
683,AK,Ferry CDP,100.0
684,AK,Fishhook CDP,4.8
685,AK,Flat CDP,
686,AK,Fort Greely CDP,0.0
687,AK,Fort Yukon city,18.5
688,AK,Four Mile Road CDP,0.0
689,AK,Fox CDP,0.0
690,AK,Fox River CDP,17.1
691,AK,Fritz Creek CDP,11.7
692,AK,Funny River CDP,11.9
693,AK,Gakona CDP,8.8
694,AK,Galena city,7.9
695,AK,Gambell city,41.3
696,AK,Game Creek CDP,0.0
697,AK,Gateway CDP,7.8
698,AK,Glacier View CDP,9.2
699,AK,Glennallen CDP,0.0
700,AK,Goldstream CDP,3.7
701,AK,Golovin city,39.4
702,AK,Goodnews Bay city,36.2
703,AK,Grayling city,42.0
704,AK,Gulkana CDP,7.8
705,AK,Gustavus city,8.1
706,AK,Haines CDP,5.1
707,AK,Halibut Cove CDP,0.0
708,AK,Happy Valley CDP,15.5
709,AK,Harding-Birch Lakes CDP,4.2
710,AK,Healy CDP,6.8
711,AK,Healy Lake CDP,
712,AK,Hobart Bay CDP,
713,AK,Hollis CDP,4.8
714,AK,Holy Cross city,13.1
715,AK,Homer city,12.6
716,AK,Hoonah city,16.4
717,AK,Hooper Bay city,40.9
718,AK,Hope CDP,0.0
719,AK,Houston city,14.8
720,AK,Hughes city,21.0
721,AK,Huslia city,24.5
722,AK,Hydaburg city,17.3
723,AK,Hyder CDP,46.2
724,AK,Igiugig CDP,6.1
725,AK,Iliamna CDP,15.8
726,AK,Ivanof Bay CDP,
727,AK,Juneau city and borough,6.6
728,AK,Kachemak city,8.9
729,AK,Kake city,21.8
730,AK,Kaktovik city,4.1
731,AK,Kalifornsky CDP,5.1
732,AK,Kaltag city,13.5
733,AK,Karluk CDP,31.8
734,AK,Kasaan city,2.8
735,AK,Kasigluk CDP,35.8
736,AK,Kasilof CDP,5.7
737,AK,Kenai city,10.9
738,AK,Kenny Lake CDP,35.9
739,AK,Ketchikan city,16.6
740,AK,Kiana city,36.3
741,AK,King Cove city,17.5
742,AK,King Salmon CDP,11.9
743,AK,Kipnuk CDP,35.1
744,AK,Kivalina city,29.9
745,AK,Klawock city,17.5
746,AK,Klukwan CDP,10.6
747,AK,Knik-Fairview CDP,8.2
748,AK,Knik River CDP,7.1
749,AK,Kobuk city,49.1
750,AK,Kodiak city,11.8
751,AK,Kodiak Station CDP,6.8
752,AK,Kokhanok CDP,24.1
753,AK,Koliganek CDP,14.7
754,AK,Kongiganak CDP,26.2
755,AK,Kotlik city,31.6
756,AK,Kotzebue city,16.3
757,AK,Koyuk city,48.9
758,AK,Koyukuk city,46.3
759,AK,Kupreanof city,5.0
760,AK,Kwethluk city,28.3
761,AK,Kwigillingok CDP,21.5
762,AK,Lake Louise CDP,46.7
763,AK,Lake Minchumina CDP,14.3
764,AK,Lakes CDP,7.3
765,AK,Larsen Bay city,13.1
766,AK,Lazy Mountain CDP,8.2
767,AK,Levelock CDP,20.2
768,AK,Lime Village CDP,85.7
769,AK,Livengood CDP,0.0
770,AK,Loring CDP,
771,AK,Lowell Point CDP,35.5
772,AK,Lower Kalskag city,35.2
773,AK,Lutak CDP,0.0
774,AK,McCarthy CDP,0.0
775,AK,McGrath city,16.8
776,AK,McKinley Park CDP,30.2
777,AK,Manley Hot Springs CDP,33.3
778,AK,Manokotak city,17.4
779,AK,Marshall city,20.3
780,AK,Meadow Lakes CDP,12.9
781,AK,Mekoryuk city,18.4
782,AK,Mendeltna CDP,0.0
783,AK,Mentasta Lake CDP,57.3
784,AK,Mertarvik CDP,
785,AK,Metlakatla CDP,12.0
786,AK,Minto CDP,19.1
787,AK,Moose Creek CDP,2.1
788,AK,Moose Pass CDP,14.9
789,AK,Mosquito Lake CDP,9.5
790,AK,Mountain Village city,29.0
791,AK,Mud Bay CDP,0.0
792,AK,Nabesna CDP,
793,AK,Naknek CDP,3.9
794,AK,Nanwalek CDP,60.5
795,AK,Napakiak city,53.1
796,AK,Napaskiak city,28.3
797,AK,Naukati Bay CDP,40.6
798,AK,Nelchina CDP,22.4
799,AK,Nelson Lagoon CDP,7.1
800,AK,Nenana city,15.3
801,AK,New Allakaket CDP,28.1
802,AK,Newhalen city,17.7
803,AK,New Stuyahok city,30.8
804,AK,Newtok CDP,42.3
805,AK,Nightmute city,26.6
806,AK,Nikiski CDP,8.3
807,AK,Nikolaevsk CDP,21.8
808,AK,Nikolai city,21.1
809,AK,Nikolski CDP,32.4
810,AK,Ninilchik CDP,10.8
811,AK,Noatak CDP,24.4
812,AK,Nome city,11.3
813,AK,Nondalton city,39.6
814,AK,Noorvik city,37.2
815,AK,North Pole city,7.5
816,AK,Northway CDP,21.4
817,AK,Northway Junction CDP,46.9
818,AK,Northway Village CDP,50.0
819,AK,Nuiqsut city,6.2
820,AK,Nulato city,27.6
821,AK,Nunam Iqua city,16.3
822,AK,Nunapitchuk city,43.9
823,AK,Old Harbor city,18.8
824,AK,Oscarville CDP,27.3
825,AK,Ouzinkie city,21.3
826,AK,Palmer city,11.5
827,AK,Paxson CDP,0.0
828,AK,Pedro Bay CDP,8.3
829,AK,Pelican city,0.0
830,AK,Perryville CDP,33.7
831,AK,Petersburg CDP,10.8
832,AK,Petersville CDP,
833,AK,Pilot Point city,35.8
834,AK,Pilot Station city,39.3
835,AK,Pitkas Point CDP,25.7
836,AK,Platinum city,40.5
837,AK,Pleasant Valley CDP,11.9
838,AK,Point Baker CDP,78.0
839,AK,Point Hope city,17.6
840,AK,Point Lay CDP,19.0
841,AK,Point MacKenzie CDP,9.0
842,AK,Point Possession CDP,
