,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
8299,IA,Diamondhead Lake CDP,88750.0,0.0,98.1,0.0,0.3,0.0,1.9,83.7
8300,IA,Dickens city,45625.0,25.9,98.4,0.0,0.0,0.5,1.1,89.0
8301,IA,Dike city,67500.0,3.6,98.8,0.2,0.0,0.2,1.2,96.9
8302,IA,Dixon city,44688.0,6.2,96.8,1.2,0.8,0.0,0.4,96.4
8303,IA,Dolliver city,49583.0,12.5,100.0,0.0,0.0,0.0,0.0,72.9
8304,IA,Donahue city,78750.0,4.4,98.8,0.3,0.0,0.0,0.9,92.5
8305,IA,Donnellson city,37656.0,14.8,99.0,0.1,0.1,0.2,0.4,91.4
8306,IA,Doon city,52708.0,5.6,98.6,0.0,0.0,0.0,2.4,88.3
8307,IA,Douds CDP,37857.0,0.0,98.7,0.0,0.0,0.7,0.0,100.0
8308,IA,Dougherty city,49375.0,4.4,96.6,0.0,0.0,3.4,0.0,90.2
8309,IA,Dow City city,36750.0,23.3,93.1,0.0,0.2,0.0,9.0,85.6
8310,IA,Dows city,36875.0,6.8,93.3,1.3,0.0,0.2,18.4,90.9
8311,IA,Drakesville city,30625.0,14.7,99.5,0.0,0.0,0.0,0.5,84.5
8312,IA,Dubuque city,47450.0,16.2,91.7,4.0,0.3,1.1,2.4,91.3
8313,IA,Dumont city,47917.0,20.2,98.7,0.2,0.0,0.0,3.3,87.6
8314,IA,Duncan CDP,48116.04860392968,54.7,94.7,0.0,0.8,0.0,3.1,55.8
8315,IA,Duncombe city,37188.0,10.3,96.1,0.5,0.0,0.7,1.0,88.0
8316,IA,Dundee city,42083.0,10.5,100.0,0.0,0.0,0.0,1.7,92.5
8317,IA,Dunkerton city,55938.0,7.2,96.1,1.1,0.0,0.7,2.6,92.7
8318,IA,Dunlap city,50000.0,6.2,98.0,0.0,0.7,0.2,0.8,85.5
8319,IA,Durango city,35625.0,21.4,100.0,0.0,0.0,0.0,0.0,84.6
8320,IA,Durant city,60625.0,6.7,98.0,0.1,0.2,0.3,1.7,93.2
8321,IA,Dyersville city,49392.0,9.7,97.6,0.9,0.0,0.2,1.3,88.9
8322,IA,Dysart city,56875.0,12.1,97.6,0.5,0.1,0.2,1.5,93.1
8323,IA,Eagle Grove city,39654.0,12.3,95.5,0.7,0.0,0.1,8.9,83.9
8324,IA,Earlham city,59455.0,5.3,98.3,0.1,0.0,0.5,0.8,98.5
8325,IA,Earling city,44000.0,10.4,97.9,0.2,1.4,0.0,1.1,86.0
8326,IA,Earlville city,59464.0,9.6,98.6,0.0,0.0,0.1,2.5,89.7
8327,IA,Early city,40000.0,21.4,93.2,1.4,0.2,0.2,4.5,96.8
8328,IA,East Amana CDP,48116.04860392968,0.0,100.0,0.0,0.0,0.0,0.0,66.7
8329,IA,East Peru city,25000.0,33.3,100.0,0.0,0.0,0.0,0.0,79.2
8330,IA,Eddyville city,46518.0,15.2,96.5,0.1,0.1,0.1,2.4,95.5
8331,IA,Edgewood city,48214.0,16.6,99.1,0.0,0.1,0.0,0.7,88.0
8332,IA,Elberon city,53333.0,7.7,96.4,0.0,0.0,0.5,2.6,85.2
8333,IA,Eldon city,33083.0,16.1,98.4,0.1,0.2,0.0,1.1,83.7
8334,IA,Eldora city,46776.0,9.0,94.8,2.0,0.3,0.6,3.7,88.9
8335,IA,Eldridge city,57750.0,6.7,96.8,0.5,0.2,0.5,2.1,96.6
8336,IA,Elgin city,44779.0,11.9,98.8,0.1,0.4,0.0,1.0,93.4
8337,IA,Elkader city,46136.0,5.1,98.7,0.1,0.3,0.2,0.3,96.4
8338,IA,Elkhart city,51750.0,10.8,95.6,1.0,0.3,0.0,3.8,92.4
8339,IA,Elk Horn city,48000.0,8.7,98.9,0.0,0.0,0.0,1.7,86.5
8340,IA,Elkport city,30250.0,46.7,100.0,0.0,0.0,0.0,0.0,58.8
8341,IA,Elk Run Heights city,52188.0,3.9,94.6,1.7,0.3,0.1,2.5,85.0
8342,IA,Elliott city,45250.0,6.7,99.1,0.0,0.3,0.3,0.9,83.3
8343,IA,Ellston city,63750.0,0.0,97.7,0.0,0.0,0.0,0.0,100.0
8344,IA,Ellsworth city,53393.0,9.8,92.1,0.2,2.1,0.4,6.8,94.0
8345,IA,Elma city,38889.0,11.2,96.3,1.3,0.0,0.0,1.5,91.4
8346,IA,Ely city,96667.0,2.9,97.5,0.3,0.1,0.5,2.3,98.0
8347,IA,Emerson city,51645.0,6.9,98.9,0.0,0.0,0.0,0.5,93.9
8348,IA,Emmetsburg city,41964.0,10.8,96.9,1.0,0.2,0.5,2.0,92.6
8349,IA,Epworth city,70380.0,7.3,93.9,0.8,0.0,4.8,0.4,97.3
8350,IA,Essex city,48500.0,8.4,97.2,0.0,0.6,0.0,2.0,92.8
8351,IA,Estherville city,43536.0,16.2,90.6,0.8,0.7,0.6,11.0,87.4
8352,IA,Evansdale city,43492.0,9.5,94.8,1.7,0.2,0.5,1.7,90.2
8353,IA,Everly city,56250.0,14.7,99.7,0.0,0.2,0.0,1.0,84.6
8354,IA,Exira city,36442.0,16.5,98.6,0.2,0.1,0.4,1.4,84.9
8355,IA,Exline city,33333.0,14.1,99.4,0.0,0.0,0.0,3.1,73.8
8356,IA,Fairbank city,58472.0,7.7,98.0,0.3,0.1,0.0,1.8,96.0
8357,IA,Fairfax city,87548.0,1.0,96.1,1.2,0.2,1.1,1.4,97.8
8358,IA,Fairfield city,37162.0,17.3,90.3,2.0,0.2,3.9,3.6,95.0
8359,IA,Farley city,75583.0,3.6,99.3,0.1,0.0,0.0,1.0,94.9
8360,IA,Farmersburg city,40938.0,21.2,97.0,0.3,0.0,0.3,0.3,94.7
8361,IA,Farmington city,38056.0,14.1,97.7,0.3,0.8,0.0,2.1,79.2
8362,IA,Farnhamville city,39375.0,13.9,98.4,0.0,0.3,0.3,0.0,96.9
8363,IA,Farragut city,47813.0,13.3,99.6,0.0,0.2,0.0,2.3,94.8
8364,IA,Fayette city,28125.0,25.8,88.6,6.7,0.0,1.9,2.8,86.3
8365,IA,Fenton city,49583.0,8.0,98.6,0.7,0.0,0.4,0.4,91.7
8366,IA,Ferguson city,45893.0,10.5,98.4,0.0,0.0,0.0,0.0,88.5
8367,IA,Fertile city,43393.0,1.2,97.8,0.5,1.1,0.3,4.9,90.7
8368,IA,Floris city,44286.0,20.9,99.3,0.0,0.0,0.0,0.7,88.3
8369,IA,Floyd city,41250.0,11.8,98.8,0.0,0.0,0.0,0.3,81.7
8370,IA,Fonda city,39750.0,16.7,94.3,0.5,0.0,0.3,8.7,92.6
8371,IA,Fontanelle city,38958.0,12.6,99.7,0.0,0.0,0.0,0.6,90.0
8372,IA,Forest City city,46146.0,8.9,94.9,1.5,0.2,1.3,3.0,93.8
8373,IA,Fort Atkinson city,37813.0,3.4,98.0,0.0,0.0,0.0,3.2,86.4
8374,IA,Fort Dodge city,39315.0,18.3,89.7,5.5,0.4,0.8,5.0,89.6
8375,IA,Fort Madison city,42595.0,17.7,89.3,5.5,0.4,0.6,6.7,91.7
8376,IA,Fostoria city,62917.0,8.0,96.5,0.0,0.0,0.4,2.6,87.9
8377,IA,Franklin city,53125.0,7.9,99.3,0.0,0.7,0.0,0.0,91.4
8378,IA,Fraser city,71000.0,15.2,98.0,0.0,0.0,0.0,0.0,89.0
8379,IA,Fredericksburg city,36950.0,12.2,96.1,0.2,0.2,0.1,3.4,90.3
8380,IA,Frederika city,42969.0,11.6,98.4,0.0,0.5,1.1,0.0,93.2
8381,IA,Fredonia city,48958.0,19.6,74.6,0.4,2.0,2.5,43.9,65.3
8382,IA,Fremont city,41319.0,15.6,98.7,0.1,0.0,0.7,0.4,91.1
8383,IA,Fruitland city,80217.0,3.6,96.7,0.0,0.2,0.4,4.4,91.8
8384,IA,Frytown CDP,48116.04860392968,0.0,97.0,0.0,0.0,0.0,2.4,100.0
8385,IA,Galt city,48116.04860392968,2.5,100.0,0.0,0.0,0.0,21.9,98.2
8386,IA,Galva city,43250.0,14.6,95.4,0.2,0.7,0.2,6.5,87.9
8387,IA,Garber city,55625.0,9.2,100.0,0.0,0.0,0.0,0.0,93.5
8388,IA,Garden City CDP,48116.04860392968,20.3,100.0,0.0,0.0,0.0,0.0,100.0
8389,IA,Garden Grove city,42813.0,32.9,97.6,0.9,0.0,0.0,0.9,86.7
8390,IA,Garnavillo city,46750.0,12.2,98.3,0.5,0.0,0.0,1.6,86.6
8391,IA,Garner city,58323.0,9.2,97.3,0.6,0.0,0.3,2.0,94.8
8392,IA,Garrison city,50625.0,6.0,96.2,1.1,0.0,0.0,1.6,91.7
8393,IA,Garwin city,49531.0,6.0,96.2,0.0,0.6,0.0,3.6,94.5
8394,IA,Geneva city,34375.0,12.7,98.2,0.0,0.0,0.0,0.6,93.8
8395,IA,George city,50795.0,7.4,98.5,0.2,0.1,0.2,2.2,84.6
8396,IA,Gibson city,37500.0,14.0,98.4,0.0,0.0,1.6,0.0,95.0
8397,IA,Gilbert city,80833.0,10.9,95.3,1.4,0.2,1.1,1.5,98.6
8398,IA,Gilbertville city,51696.0,10.6,98.6,0.0,0.1,0.6,1.7,93.1
8399,IA,Gillett Grove city,48116.04860392968,21.4,98.0,0.0,0.0,0.0,0.0,83.8
8400,IA,Gilman city,54250.0,15.0,99.6,0.0,0.0,0.0,0.8,92.0
8401,IA,Gilmore City city,38125.0,11.8,97.8,0.4,0.0,0.4,1.6,90.4
8402,IA,Gladbrook city,60078.0,4.4,98.8,0.0,0.0,0.0,1.0,96.3
8403,IA,Glenwood city,53229.0,15.3,96.8,0.6,0.3,0.4,2.7,90.0
8404,IA,Glidden city,55625.0,13.0,99.0,0.0,0.6,0.1,0.6,93.7
8405,IA,Goldfield city,39417.0,12.7,95.4,0.3,0.5,0.0,3.0,89.8
8406,IA,Goodell city,37500.0,31.0,95.0,0.0,0.0,0.0,11.5,83.5
8407,IA,Goose Lake city,70417.0,4.2,99.2,0.0,0.0,0.0,0.0,94.2
8408,IA,Gowrie city,43250.0,12.4,97.7,1.0,0.1,0.2,1.6,88.1
8409,IA,Graettinger city,41103.0,11.9,98.5,0.4,0.1,0.0,0.8,90.7
8410,IA,Graf city,65417.0,0.0,100.0,0.0,0.0,0.0,1.3,91.7
8411,IA,Grafton city,33333.0,11.6,98.8,0.0,0.0,0.4,0.0,90.0
8412,IA,Grand Junction city,40156.0,25.9,96.6,0.6,1.2,0.7,1.8,88.4
8413,IA,Grand Mound city,61250.0,3.9,98.9,0.0,0.0,0.3,1.7,96.3
8414,IA,Grand River city,24844.0,25.1,96.6,0.0,0.4,0.0,3.4,82.7
8415,IA,Grandview city,45250.0,12.0,92.3,0.9,0.2,0.9,8.5,87.1
8416,IA,Granger city,71250.0,7.0,98.5,0.3,0.0,0.4,1.5,93.8
8417,IA,Grant city,29375.0,33.3,100.0,0.0,0.0,0.0,0.0,95.1
8418,IA,Granville city,59167.0,7.6,89.7,0.6,0.0,0.3,13.1,91.6
8419,IA,Gravity city,38056.0,9.9,99.5,0.0,0.0,0.0,1.1,79.0
8420,IA,Gray city,80833.0,0.0,98.4,0.0,0.0,0.0,0.0,94.6
8421,IA,Greeley city,43393.0,19.2,100.0,0.0,0.0,0.0,0.0,77.1
8422,IA,Greene city,47344.0,6.4,98.6,0.2,0.2,0.3,0.4,90.0
8423,IA,Greenfield city,41823.0,12.4,98.0,0.2,0.1,0.4,2.2,90.7
8424,IA,Green Mountain CDP,52250.0,8.0,96.8,0.0,0.0,0.8,0.8,96.7
8425,IA,Greenville city,41250.0,25.8,96.0,0.0,4.0,0.0,2.7,84.7
8426,IA,Grimes city,77652.0,3.1,95.0,1.1,0.2,1.7,2.5,96.1
8427,IA,Grinnell city,45365.0,11.3,91.9,2.0,0.3,2.7,3.2,93.1
8428,IA,Griswold city,43696.0,16.0,97.5,1.0,0.3,0.1,1.1,88.4
8429,IA,Grundy Center city,50000.0,10.5,98.6,0.2,0.0,0.1,0.4,94.0
8430,IA,Gruver city,47000.0,10.2,97.9,2.1,0.0,0.0,1.1,93.2
8431,IA,Guernsey city,39583.0,7.4,100.0,0.0,0.0,0.0,3.2,94.0
8432,IA,Guthrie Center city,37833.0,15.1,96.0,0.1,0.4,0.2,3.6,88.8
8433,IA,Guttenberg city,38553.0,11.5,98.3,0.2,0.0,0.5,1.3,93.0
8434,IA,Halbur city,58750.0,0.8,99.6,0.0,0.0,0.0,0.0,92.8
8435,IA,Hamburg city,34931.0,16.4,94.2,0.8,0.5,0.3,6.2,88.5
8436,IA,Hamilton city,50700.0,16.4,100.0,0.0,0.0,0.0,1.5,93.5
8437,IA,Hampton city,45942.0,17.2,89.1,0.6,0.2,0.3,21.5,82.1
8438,IA,Hancock city,47917.0,3.6,95.9,0.0,0.5,0.0,2.6,91.2
8439,IA,Hanlontown city,55000.0,3.8,97.3,0.9,0.0,0.4,4.9,93.6
8440,IA,Hansell city,55833.0,9.3,99.0,0.0,0.0,1.0,0.0,94.1
8441,IA,Harcourt city,48750.0,11.0,98.0,0.3,0.3,0.3,1.3,88.1
8442,IA,Hardy city,58750.0,9.4,93.6,0.0,0.0,0.0,0.0,47.6
8443,IA,Harlan city,42378.0,14.3,97.0,0.5,0.4,0.6,1.9,89.9
8444,IA,Harper city,55625.0,5.4,94.7,0.0,0.9,0.0,5.3,93.0
8445,IA,Harpers Ferry city,39250.0,7.6,99.7,0.3,0.0,0.0,0.0,88.4
8446,IA,Harris city,34107.0,16.8,97.6,0.0,1.2,0.0,1.2,76.7
8447,IA,Hartford city,56094.0,7.6,97.4,0.6,0.1,0.5,2.5,92.7
8448,IA,Hartley city,44301.0,8.2,95.8,0.0,0.1,0.4,4.4,90.3
8449,IA,Hartwick city,56250.0,3.0,97.7,0.0,0.0,0.0,0.0,98.5
8450,IA,Harvey city,44375.0,20.1,97.4,0.0,0.4,1.3,0.9,86.7
8451,IA,Hastings city,28571.0,22.7,99.3,0.0,0.0,0.0,1.3,87.4
8452,IA,Havelock city,28750.0,44.7,92.8,0.0,1.4,0.7,6.5,90.7
8453,IA,Haverhill city,69583.0,0.5,99.4,0.0,0.0,0.0,0.0,90.1
8454,IA,Hawarden city,47171.0,14.6,86.8,0.5,0.9,0.3,20.0,79.7
8455,IA,Hawkeye city,42000.0,18.8,99.1,0.7,0.2,0.0,0.2,90.5
8456,IA,Hayesville city,33333.0,12.5,100.0,0.0,0.0,0.0,0.0,85.7
8457,IA,Hayfield CDP,48116.04860392968,0.0,100.0,0.0,0.0,0.0,0.0,100.0
8458,IA,Hazleton city,40565.0,19.5,96.8,0.5,1.6,0.0,1.6,92.0
8459,IA,Hedrick city,28333.0,26.1,98.3,1.2,0.0,0.0,1.4,87.6
8460,IA,Henderson city,36563.0,11.5,99.5,0.0,0.0,0.0,0.5,92.3
8461,IA,Hepburn city,48116.04860392968,53.6,100.0,0.0,0.0,0.0,0.0,93.8
8462,IA,Hiawatha city,51127.0,11.7,88.9,5.1,0.2,2.2,2.3,94.6
8463,IA,High Amana CDP,42232.0,0.0,98.3,0.0,0.0,0.0,0.0,100.0
8464,IA,Hills city,50417.0,26.3,93.3,0.3,0.7,1.3,4.0,93.1
8465,IA,Hillsboro city,37981.0,21.1,98.9,0.6,0.0,0.0,3.3,83.4
8466,IA,Hinton city,64091.0,6.4,98.8,0.3,0.2,0.2,0.6,95.1
8467,IA,Holiday Lake CDP,48116.04860392968,12.9,98.2,0.5,1.2,0.2,0.9,94.9
8468,IA,Holland city,54375.0,6.4,99.6,0.0,0.0,0.0,0.0,92.9
8469,IA,Holstein city,47708.0,6.3,97.7,0.1,0.2,0.1,2.0,94.2
8470,IA,Holy Cross city,52292.0,10.9,99.5,0.0,0.0,0.0,1.1,90.5
8471,IA,Homestead CDP,46595.0,0.0,98.0,0.7,0.0,0.0,1.4,100.0
8472,IA,Hopkinton city,42250.0,5.3,99.0,0.0,0.0,0.0,0.8,89.2
8473,IA,Hornick city,41944.0,2.6,98.2,0.4,0.0,0.4,0.9,84.2
8474,IA,Hospers city,54500.0,5.4,97.4,0.9,0.3,0.4,2.1,89.0
8475,IA,Houghton city,66875.0,7.9,100.0,0.0,0.0,0.0,0.0,85.5
8476,IA,Hubbard city,48864.0,4.2,97.6,0.1,0.1,0.4,2.8,86.0
8477,IA,Hudson city,77969.0,4.1,98.1,0.3,0.0,0.5,1.6,97.9
8478,IA,Hull city,52969.0,9.8,92.6,0.4,0.6,0.7,9.1,80.5
8479,IA,Humboldt city,43504.0,15.8,94.9,0.6,0.1,0.4,5.0,91.9
8480,IA,Humeston city,39286.0,5.9,97.0,0.2,0.4,0.4,0.6,92.1
8481,IA,Hutchins CDP,48116.04860392968,0.0,89.3,3.6,0.0,0.0,0.0,100.0
8482,IA,Huxley city,64549.0,11.4,95.6,1.0,0.2,0.5,2.2,93.3
8483,IA,Ida Grove city,40294.0,15.4,98.2,0.3,0.2,0.1,0.8,89.0
8484,IA,Imogene city,48116.04860392968,0.0,98.6,0.0,0.0,0.0,1.4,88.5
8485,IA,Independence city,50036.0,10.6,97.6,0.3,0.1,0.7,1.2,92.1
8486,IA,Indianola city,49708.0,13.3,96.9,0.5,0.2,0.7,1.5,95.5
8487,IA,Inwood city,44886.0,5.6,97.9,0.0,0.1,0.1,1.4,87.9
8488,IA,Ionia city,50625.0,7.7,99.7,0.0,0.0,0.0,0.7,94.0
8489,IA,Iowa City city,42375.0,28.2,82.5,5.8,0.2,6.9,5.3,95.1
8490,IA,Iowa Falls city,48118.0,8.2,94.0,2.7,0.4,0.7,3.9,92.3
8491,IA,Ireton city,48000.0,8.8,97.9,0.2,0.0,0.0,3.6,92.6
8492,IA,Irvington CDP,48116.04860392968,0.0,100.0,0.0,0.0,0.0,0.0,100.0
8493,IA,Irwin city,40795.0,14.2,98.8,0.0,0.0,0.0,1.2,91.6
8494,IA,Jackson Junction city,48750.0,6.5,98.3,0.0,0.0,1.7,0.0,96.8
8495,IA,Jacksonville CDP,18594.0,25.8,83.3,0.0,0.0,0.0,16.7,100.0
8496,IA,Jamaica city,40417.0,7.9,95.1,0.0,0.0,0.0,6.3,83.9
8497,IA,Janesville city,52625.0,4.2,98.4,0.6,0.0,0.2,0.3,94.9
8498,IA,Jefferson city,44184.0,11.6,97.9,0.1,0.1,0.2,2.3,90.7
8499,IA,Jesup city,56898.0,4.5,98.2,0.3,0.0,0.2,1.4,97.4
8500,IA,Jewell Junction city,51613.0,9.3,95.2,0.1,0.0,1.2,4.4,91.2
8501,IA,Johnston city,97457.0,4.7,91.0,2.2,0.1,4.6,2.0,96.6
8502,IA,Joice city,36458.0,8.4,96.8,0.0,0.5,0.0,0.0,95.0
8503,IA,Jolley city,27500.0,2.7,100.0,0.0,0.0,0.0,4.9,90.3
8504,IA,Kalona city,41204.0,16.1,97.2,0.4,0.3,0.2,2.0,84.0
8505,IA,Kamrar city,38125.0,13.0,96.5,0.0,0.0,2.0,0.0,86.9
8506,IA,Kanawha city,39028.0,20.9,96.8,0.8,0.6,0.3,5.2,86.7
8507,IA,Kellerton city,36563.0,14.7,96.2,0.0,1.0,0.0,2.2,91.3
8508,IA,Kelley city,71667.0,6.5,98.4,0.6,0.0,0.3,1.0,94.9
8509,IA,Kellogg city,48482.0,6.1,98.2,0.2,0.2,0.5,2.2,88.7
8510,IA,Kensett city,26932.0,21.4,98.1,0.0,0.0,1.1,0.8,90.9
8511,IA,Kent CDP,48116.04860392968,15.4,100.0,0.0,0.0,0.0,0.0,85.7
8512,IA,Keokuk city,33608.0,24.5,91.9,4.0,0.2,0.8,1.8,89.4
8513,IA,Keomah Village city,60625.0,9.4,100.0,0.0,0.0,0.0,3.6,100.0
8514,IA,Keosauqua city,42788.0,15.2,97.6,0.4,0.0,0.9,1.1,95.8
8515,IA,Keota city,43015.0,24.5,98.3,0.4,0.0,0.2,0.2,90.5
8516,IA,Keswick city,41635.0,8.3,97.6,0.0,1.2,0.0,0.0,94.0
8517,IA,Keystone city,56161.0,7.3,99.2,0.0,0.5,0.2,0.6,93.6
8518,IA,Kimballton city,37188.0,14.9,97.8,0.0,0.3,0.9,0.0,87.3
8519,IA,Kingsley city,61161.0,10.5,98.2,0.2,0.1,0.1,1.3,94.2
8520,IA,Kinross city,35000.0,11.9,100.0,0.0,0.0,0.0,0.0,78.9
8521,IA,Kirkman city,45750.0,16.7,96.9,0.0,0.0,0.0,3.1,100.0
8522,IA,Kirkville city,45833.0,2.8,97.6,0.0,0.6,0.0,1.8,88.9
8523,IA,Kiron city,35625.0,19.7,91.4,0.0,0.0,0.0,16.1,91.3
8524,IA,Klemme city,46979.0,18.1,98.6,0.4,0.0,0.2,0.4,94.6
8525,IA,Knierim city,53438.0,12.8,96.7,0.0,0.0,0.0,5.0,100.0
8526,IA,Knoxville city,41225.0,16.9,96.9,1.1,0.3,0.5,1.9,89.9
8527,IA,Lacona city,40179.0,18.5,99.7,0.0,0.0,0.0,0.6,89.5
8528,IA,Ladora city,42750.0,9.2,96.8,2.5,0.0,0.0,1.1,88.1
8529,IA,Lake City city,39115.0,19.7,98.4,0.2,0.1,0.2,1.2,86.8
8530,IA,Lake Mills city,42760.0,8.6,96.7,0.3,0.0,1.0,3.6,90.0
8531,IA,Lake Panorama CDP,63571.0,4.2,98.5,0.0,0.2,0.3,1.6,100.0
8532,IA,Lake Park city,58750.0,2.6,98.6,0.0,0.0,0.0,1.0,94.8
8533,IA,Lakeside city,67083.0,2.9,76.7,2.2,0.2,5.7,32.0,82.5
8534,IA,Lake View city,50000.0,7.3,99.3,0.3,0.0,0.0,0.1,91.4
8535,IA,Lakota city,30833.0,21.0,94.1,0.0,0.8,0.0,5.9,82.6
8536,IA,Lambs Grove city,65938.0,2.0,95.9,0.0,0.0,0.0,2.9,93.9
8537,IA,Lamoni city,32277.0,23.0,88.6,5.7,0.6,1.1,4.5,89.5
8538,IA,Lamont city,42031.0,8.7,98.3,0.2,0.4,0.4,0.4,87.0
8539,IA,La Motte city,57500.0,7.9,96.2,0.0,0.0,0.0,0.0,91.7
8540,IA,Lanesboro city,30313.0,10.5,95.9,0.8,0.0,0.8,3.3,89.7
8541,IA,Lansing city,36000.0,11.3,98.8,0.1,0.2,0.4,0.6,95.0
8542,IA,La Porte City city,50281.0,12.7,97.8,0.8,0.1,0.2,1.0,93.7
8543,IA,Larchwood city,54205.0,5.5,98.6,0.0,0.1,0.2,1.2,90.4
8544,IA,Larrabee city,39545.0,25.1,97.7,2.3,0.0,0.0,4.5,89.3
8545,IA,Latimer city,40417.0,6.7,91.5,0.2,0.4,0.2,20.1,81.9
8546,IA,Laurel city,41477.0,11.1,98.7,0.4,0.0,0.4,2.1,90.8
8547,IA,Laurens city,38125.0,11.5,97.5,0.3,0.4,0.3,1.4,89.4
8548,IA,Lawler city,46250.0,9.4,92.7,0.2,0.0,0.0,8.9,92.9
8549,IA,Lawton city,65556.0,3.2,98.8,0.2,0.1,0.2,0.4,95.5
8550,IA,Leando CDP,48116.04860392968,35.9,100.0,0.0,0.0,0.0,0.0,100.0
8551,IA,Le Claire city,77127.0,4.9,96.2,1.0,0.1,0.4,3.0,98.7
8552,IA,Ledyard city,34167.0,7.7,99.2,0.0,0.0,0.0,0.8,92.1
8553,IA,Le Grand city,55357.0,6.1,97.1,0.1,0.4,0.1,3.5,95.0
8554,IA,Lehigh city,30375.0,22.4,98.6,0.2,0.0,0.0,0.2,92.6
8555,IA,Leighton city,50000.0,3.0,99.4,0.0,0.0,0.0,0.0,93.5
8556,IA,Leland city,35938.0,13.5,93.4,1.0,1.0,1.4,5.5,92.4
8557,IA,Le Mars city,50283.0,9.5,94.2,0.5,0.3,0.7,5.4,89.7
8558,IA,Lenox city,36741.0,18.1,91.3,0.4,0.0,0.4,19.8,85.6
8559,IA,Leon city,36172.0,22.3,98.1,0.7,0.3,0.6,2.0,86.5
8560,IA,Le Roy city,48116.04860392968,50.0,93.3,0.0,0.0,0.0,0.0,100.0
8561,IA,Lester city,56731.0,6.1,93.5,0.3,0.7,0.3,5.4,94.7
8562,IA,Letts city,46250.0,16.5,94.8,0.0,0.5,0.0,5.2,87.6
8563,IA,Lewis city,41125.0,17.2,96.8,0.0,1.2,0.0,1.4,84.0
8564,IA,Libertyville city,55357.0,8.7,97.8,0.0,0.3,0.0,1.3,92.8
8565,IA,Lidderdale city,44306.0,7.9,99.4,0.0,0.0,0.6,0.0,96.5
8566,IA,Lime Springs city,48056.0,10.7,99.4,0.0,0.2,0.4,0.4,87.9
8567,IA,Lincoln city,28333.0,16.1,99.4,0.0,0.0,0.0,4.3,89.8
8568,IA,Linden city,35000.0,11.5,99.0,0.5,0.0,0.0,1.0,79.5
8569,IA,Lineville city,35833.0,12.7,99.1,0.0,0.0,0.5,0.0,83.5
8570,IA,Linn Grove city,39375.0,4.4,96.8,0.6,0.0,0.0,8.4,94.6
8571,IA,Lisbon city,49135.0,10.7,97.8,0.5,0.2,0.1,1.2,91.9
8572,IA,Liscomb city,54375.0,13.6,93.0,0.0,0.0,3.0,2.0,95.2
8573,IA,Little Cedar CDP,28438.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
8574,IA,Little Rock city,51719.0,9.8,99.8,0.0,0.0,0.0,0.7,87.6
8575,IA,Little Sioux city,32500.0,15.0,100.0,0.0,0.0,0.0,2.4,75.2
8576,IA,Livermore city,54500.0,13.7,96.9,0.5,0.3,0.0,2.3,91.1
8577,IA,Lockridge city,37500.0,18.0,96.6,0.0,0.0,0.0,4.5,90.2
8578,IA,Logan city,58125.0,10.2,98.6,0.1,0.1,0.4,0.8,89.1
8579,IA,Lohrville city,46375.0,14.2,97.6,0.0,0.5,0.0,1.4,89.5
8580,IA,Lone Rock city,45313.0,5.9,99.3,0.0,0.0,0.0,1.4,82.6
8581,IA,Lone Tree city,61667.0,10.5,94.8,0.7,0.2,0.5,4.0,95.0
8582,IA,Long Grove city,93750.0,3.2,97.8,0.0,0.0,0.2,3.3,98.1
8583,IA,Lorimor city,34688.0,32.8,98.1,0.3,0.8,0.0,0.8,88.2
8584,IA,Lost Nation city,40714.0,30.0,99.1,0.9,0.0,0.0,1.3,89.9
8585,IA,Loveland CDP,48116.04860392968,0.0,100.0,0.0,0.0,0.0,0.0,40.0
8586,IA,Lovilia city,42273.0,18.0,99.4,0.2,0.2,0.0,0.7,89.0
8587,IA,Lowden city,38056.0,9.6,99.1,0.1,0.0,0.0,0.8,91.7
8588,IA,Low Moor city,44167.0,12.3,97.6,0.7,0.0,0.0,0.3,92.3
8589,IA,Luana city,43250.0,14.2,99.3,0.0,0.0,0.0,5.6,87.9
8590,IA,Lucas city,50938.0,11.2,95.4,0.5,0.0,0.0,1.9,88.9
8591,IA,Luther city,65250.0,3.1,98.4,0.8,0.0,0.8,1.6,97.6
8592,IA,Lu Verne city,34250.0,28.9,96.9,0.0,1.5,0.0,3.8,82.4
8593,IA,Luxemburg city,46875.0,7.9,100.0,0.0,0.0,0.0,1.7,87.5
8594,IA,Luzerne city,57500.0,2.0,91.7,2.1,0.0,0.0,5.2,96.5
8595,IA,Lynnville city,62981.0,7.1,100.0,0.0,0.0,0.0,0.8,90.9
8596,IA,Lytton city,46250.0,15.2,99.0,0.0,0.0,0.0,2.2,90.4
8597,IA,McCallsburg city,44375.0,23.0,97.6,0.6,0.0,0.0,1.2,91.7
8598,IA,McCausland city,64896.0,7.8,97.9,0.0,0.0,0.0,1.7,92.7
8599,IA,McClelland city,66250.0,0.8,94.0,1.3,0.0,0.0,2.0,94.4
8600,IA,Macedonia city,51250.0,10.2,97.6,0.0,0.0,0.8,0.4,90.5
8601,IA,McGregor city,39327.0,11.1,96.9,0.1,0.3,0.5,1.7,94.0
8602,IA,McIntire city,31500.0,12.8,100.0,0.0,0.0,0.0,1.6,76.3
