,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
10563,LA,New Llano town,42898.0,14.6,43.3,38.7,1.0,5.0,10.6,84.8
10564,LA,New Orleans city,36792.0,27.0,33.0,60.2,0.3,2.9,5.2,85.2
10565,LA,New Roads city,32304.0,25.2,39.3,58.6,0.1,0.6,1.6,74.9
10566,LA,New Sarpy CDP,34000.0,21.9,46.4,51.2,0.8,0.1,1.6,79.8
10567,LA,Noble village,46000.0,17.5,61.1,0.4,34.1,0.0,10.7,80.2
10568,LA,Norco CDP,66534.0,7.9,90.3,7.0,0.4,0.5,3.0,87.0
10569,LA,North Hodge village,30278.0,27.6,75.5,19.1,0.0,0.0,2.1,74.5
10570,LA,North Vacherie CDP,49183.0,14.8,24.8,73.6,0.1,0.0,2.1,88.3
10571,LA,Norwood village,40481.0,20.4,78.6,21.1,0.0,0.0,0.3,79.0
10572,LA,Oakdale city,29673.0,24.8,62.4,34.0,1.2,0.8,0.8,79.7
10573,LA,Oak Grove town,28938.0,22.7,66.8,29.4,0.6,0.8,2.8,72.4
10574,LA,Oak Hills Place CDP,82195.0,11.8,77.4,15.9,0.2,4.8,3.9,97.3
10575,LA,Oak Ridge village,41635.90570175439,0.8,90.3,9.7,0.0,0.0,0.0,90.4
10576,LA,Oberlin town,36250.0,25.3,54.5,40.2,0.8,1.5,1.0,78.4
10577,LA,Oil City town,20611.0,35.9,56.8,40.5,0.6,0.4,0.6,71.1
10578,LA,Old Jefferson CDP,67330.0,4.9,80.1,12.7,0.4,2.8,5.3,97.0
10579,LA,Olla town,35735.0,21.4,96.0,1.8,0.5,0.1,1.6,81.6
10580,LA,Opelousas city,20434.0,41.9,22.3,75.1,0.3,0.5,1.2,71.5
10581,LA,Oretta CDP,50069.0,10.9,93.8,1.2,1.7,0.0,2.4,84.2
10582,LA,Ossun CDP,56194.0,35.9,52.7,44.3,0.2,0.0,1.8,79.0
10583,LA,Paincourtville CDP,65179.0,1.9,63.6,35.3,0.1,0.3,4.1,82.2
10584,LA,Palmetto village,25500.0,26.3,50.6,45.1,0.0,0.0,0.0,54.9
10585,LA,Paradis CDP,68000.0,9.0,89.7,5.9,0.8,0.5,5.4,83.8
10586,LA,Parks village,36442.0,12.6,57.7,41.0,0.0,0.0,1.1,83.8
10587,LA,Patterson city,44764.0,21.3,51.9,44.3,0.7,0.6,3.0,73.6
10588,LA,Paulina CDP,66698.0,2.5,83.9,14.2,0.3,0.3,1.4,97.2
10589,LA,Pearl River town,46771.0,15.9,93.1,2.9,0.8,0.4,3.4,78.5
10590,LA,Pierre Part CDP,79583.0,7.0,98.6,0.0,0.2,0.0,1.0,75.0
10591,LA,Pine Prairie village,30893.0,27.2,69.5,29.2,0.2,0.1,0.9,64.8
10592,LA,Pineville city,38049.0,21.3,64.6,30.8,0.5,1.5,2.6,83.8
10593,LA,Pioneer village,32222.0,23.3,57.7,41.0,0.6,0.0,0.6,80.2
10594,LA,Pitkin CDP,45313.0,16.2,93.9,0.2,3.3,0.5,1.7,74.3
10595,LA,Plain Dealing town,32961.0,37.4,52.2,45.2,0.2,0.0,0.8,76.8
10596,LA,Plaquemine city,41447.0,22.6,46.7,51.0,0.2,0.4,2.4,80.3
10597,LA,Plaucheville village,33750.0,20.8,93.1,0.8,3.2,0.4,1.6,80.5
10598,LA,Pleasant Hill village,24931.0,27.5,55.0,41.1,2.1,0.0,2.1,75.8
10599,LA,Pleasure Bend CDP,43750.0,16.7,96.8,2.4,0.4,0.0,3.2,70.9
10600,LA,Pointe a la Hache CDP,107845.0,39.9,8.6,90.9,0.5,0.0,0.0,87.8
10601,LA,Point Place CDP,46989.0,0.0,56.3,32.0,2.5,0.0,1.8,91.0
10602,LA,Pollock town,35469.0,29.6,95.9,0.2,0.6,0.4,1.3,84.1
10603,LA,Ponchatoula city,40217.0,23.8,63.3,32.8,0.2,0.6,3.2,86.4
10604,LA,Port Allen city,37269.0,25.7,39.9,58.0,0.1,0.1,1.5,83.6
10605,LA,Port Barre town,22273.0,38.0,71.6,25.7,0.1,0.2,1.6,72.6
10606,LA,Port Sulphur CDP,32276.0,32.2,25.1,64.5,5.5,1.5,2.0,59.6
10607,LA,Port Vincent village,68125.0,6.7,98.7,0.1,0.4,0.0,1.3,81.6
10608,LA,Powhatan village,21667.0,38.1,25.2,69.6,0.7,0.0,5.2,48.0
10609,LA,Poydras CDP,37354.0,18.3,84.1,11.5,0.9,0.5,9.6,71.0
10610,LA,Prairieville CDP,95807.0,7.4,82.4,12.3,0.3,1.8,5.0,92.8
10611,LA,Presquille CDP,103617.0,6.8,93.7,2.3,2.2,0.5,1.2,89.8
10612,LA,Prien CDP,80122.0,8.0,85.4,7.4,0.4,3.3,2.2,90.7
10613,LA,Prospect CDP,54583.0,0.0,95.4,0.6,0.6,0.4,0.2,83.3
10614,LA,Provencal village,33438.0,25.3,94.1,2.0,0.8,0.0,0.3,75.7
10615,LA,Quitman village,50417.0,4.5,90.1,9.4,0.0,0.0,0.0,93.4
10616,LA,Raceland CDP,41987.0,18.4,67.0,28.5,1.1,0.3,2.8,74.2
10617,LA,Rayne city,30575.0,23.2,62.5,35.1,0.3,0.2,1.5,69.8
10618,LA,Rayville town,24946.0,35.5,28.5,69.3,0.4,0.4,1.5,71.7
10619,LA,Red Chute CDP,65500.0,11.9,85.6,7.7,0.5,1.2,7.2,89.9
10620,LA,Reddell CDP,46129.0,2.4,75.6,21.6,0.5,0.3,0.5,88.7
10621,LA,Reeves village,55000.0,22.2,94.4,0.0,4.7,0.0,0.0,79.3
10622,LA,Reserve CDP,49137.0,21.0,38.0,59.5,0.2,0.4,2.9,82.8
10623,LA,Richmond village,46071.0,13.4,78.3,19.6,0.0,0.3,4.9,78.0
10624,LA,Richwood town,19231.0,37.2,17.7,81.4,0.0,0.1,1.4,62.9
10625,LA,Ridgecrest town,26250.0,33.4,69.0,29.5,0.4,0.0,1.4,77.9
10626,LA,Ringgold town,16979.0,46.1,39.9,58.0,0.3,0.1,1.9,73.4
10627,LA,River Ridge CDP,62362.0,6.9,84.3,12.1,0.2,0.9,5.2,93.5
10628,LA,Roanoke CDP,34545.0,8.6,76.0,21.6,0.2,0.4,0.9,82.9
10629,LA,Robeline village,32000.0,18.2,83.9,9.8,5.7,0.0,0.6,68.2
10630,LA,Rock Hill CDP,41635.90570175439,0.0,95.6,0.0,2.2,0.0,0.7,91.8
10631,LA,Rodessa village,32500.0,27.4,64.8,31.1,0.4,0.0,2.2,73.7
10632,LA,Romeville CDP,47976.0,16.3,16.2,83.8,0.0,0.0,0.0,53.8
10633,LA,Rosedale village,34000.0,10.8,55.4,42.1,0.5,1.5,0.1,80.7
10634,LA,Roseland town,28482.0,29.7,32.0,66.1,0.4,0.2,1.1,65.8
10635,LA,Rosepine town,32054.0,32.7,83.7,8.0,1.1,1.2,6.4,80.9
10636,LA,Ruston city,28560.0,39.1,52.3,42.0,0.2,3.2,2.3,87.7
10637,LA,St. Francisville town,55326.0,24.6,70.4,23.9,0.1,0.6,8.1,90.0
10638,LA,St. Gabriel city,40331.0,30.9,34.1,64.0,0.1,0.3,2.5,68.7
10639,LA,St. James CDP,34511.0,18.1,19.9,80.0,0.0,0.0,3.3,82.0
10640,LA,St. Joseph town,16923.0,39.4,20.9,77.4,0.2,0.3,0.5,82.4
10641,LA,St. Martinville city,27333.0,30.2,35.3,62.7,0.2,0.1,1.4,73.1
10642,LA,St. Maurice CDP,41635.90570175439,61.7,25.7,72.4,0.6,0.3,0.0,65.0
10643,LA,St. Rose CDP,50204.0,16.5,50.4,42.9,0.2,1.3,9.5,85.5
10644,LA,Saline village,40833.0,23.3,76.2,21.3,0.4,0.0,0.0,71.9
10645,LA,Sarepta town,42143.0,8.2,98.8,0.6,0.2,0.0,1.3,87.9
10646,LA,Schriever CDP,46652.0,21.5,69.1,25.9,1.4,0.5,3.3,78.3
10647,LA,Scott city,46667.0,6.7,78.7,15.7,0.5,1.7,3.7,85.6
10648,LA,Shenandoah CDP,88990.0,4.8,82.8,11.2,0.3,3.5,3.1,96.1
10649,LA,Shongaloo village,44688.0,12.0,94.5,4.9,0.5,0.0,1.1,85.8
10650,LA,Shreveport city,38583.0,23.6,41.2,54.7,0.4,1.3,2.5,85.5
