,Geographic Area,City,Median Income
618,AK,Birch Creek CDP,52099.594405594406
619,AK,Brevig Mission city,32344.0
620,AK,Buckland city,60357.0
621,AK,Buffalo Soapstone CDP,68333.0
622,AK,Butte CDP,81875.0
623,AK,Cantwell CDP,56000.0
624,AK,Central CDP,52099.594405594406
625,AK,Chalkyitsik CDP,29375.0
626,AK,Chase CDP,52099.594405594406
627,AK,Chefornak city,55625.0
628,AK,Chena Ridge CDP,93532.0
629,AK,Chenega CDP,52099.594405594406
630,AK,Chevak city,41136.0
631,AK,Chickaloon CDP,40893.0
632,AK,Chicken CDP,52099.594405594406
633,AK,Chignik city,96250.0
634,AK,Chignik Lagoon CDP,93438.0
635,AK,Chignik Lake CDP,45000.0
636,AK,Chiniak CDP,52099.594405594406
637,AK,Chisana CDP,52099.594405594406
638,AK,Chistochina CDP,52099.594405594406
639,AK,Chitina CDP,52099.594405594406
640,AK,Chuathbaluk city,43750.0
641,AK,Circle CDP,17125.0
642,AK,Clam Gulch CDP,52099.594405594406
643,AK,Clark's Point city,25833.0
644,AK,Coffman Cove city,41786.0
645,AK,Cohoe CDP,57228.0
646,AK,Cold Bay city,86250.0
647,AK,Coldfoot CDP,52099.594405594406
648,AK,College CDP,73812.0
649,AK,Cooper Landing CDP,64301.0
650,AK,Copper Center CDP,39063.0
651,AK,Cordova city,85833.0
652,AK,Covenant Life CDP,31875.0
653,AK,Craig city,63229.0
654,AK,Crooked Creek CDP,31250.0
655,AK,Crown Point CDP,56688.0
656,AK,Deering city,50000.0
657,AK,Delta Junction city,72500.0
658,AK,Deltana CDP,74457.0
659,AK,Diamond Ridge CDP,69375.0
660,AK,Dillingham city,66875.0
661,AK,Diomede city,16250.0
662,AK,Dot Lake CDP,52099.594405594406
663,AK,Dot Lake Village CDP,20625.0
664,AK,Dry Creek CDP,52099.594405594406
665,AK,Eagle city,33125.0
666,AK,Eagle Village CDP,52099.594405594406
667,AK,Edna Bay city,52099.594405594406
668,AK,Eek city,39063.0
669,AK,Egegik city,38125.0
670,AK,Eielson AFB CDP,53388.0
671,AK,Ekwok city,31875.0
672,AK,Elfin Cove CDP,106667.0
673,AK,Elim city,37188.0
674,AK,Emmonak city,44773.0
675,AK,Ester CDP,68163.0
676,AK,Eureka Roadhouse CDP,52099.594405594406
677,AK,Evansville CDP,23750.0
678,AK,Excursion Inlet CDP,52099.594405594406
679,AK,Fairbanks city,55229.0
680,AK,False Pass city,55625.0
681,AK,Farmers Loop CDP,100703.0
682,AK,Farm Loop CDP,82250.0
683,AK,Ferry CDP,52099.594405594406
684,AK,Fishhook CDP,86917.0
685,AK,Flat CDP,52099.594405594406
686,AK,Fort Greely CDP,52099.594405594406
687,AK,Fort Yukon city,39583.0
688,AK,Four Mile Road CDP,52099.594405594406
689,AK,Fox CDP,76563.0
690,AK,Fox River CDP,57083.0
691,AK,Fritz Creek CDP,61875.0
692,AK,Funny River CDP,59314.0
693,AK,Gakona CDP,80625.0
694,AK,Galena city,63333.0
695,AK,Gambell city,29417.0
696,AK,Game Creek CDP,52099.594405594406
697,AK,Gateway CDP,92739.0
698,AK,Glacier View CDP,43000.0
699,AK,Glennallen CDP,52099.594405594406
700,AK,Goldstream CDP,88371.0
701,AK,Golovin city,40000.0
702,AK,Goodnews Bay city,30313.0
703,AK,Grayling city,20417.0
704,AK,Gulkana CDP,52099.594405594406
705,AK,Gustavus city,57639.0
706,AK,Haines CDP,69735.0
707,AK,Halibut Cove CDP,52099.594405594406
708,AK,Happy Valley CDP,41625.0
709,AK,Harding-Birch Lakes CDP,51042.0
710,AK,Healy CDP,88462.0
711,AK,Healy Lake CDP,52099.594405594406
712,AK,Hobart Bay CDP,52099.594405594406
713,AK,Hollis CDP,103571.0
714,AK,Holy Cross city,36094.0
715,AK,Homer city,55849.0
716,AK,Hoonah city,57708.0
717,AK,Hooper Bay city,35938.0
718,AK,Hope CDP,52099.594405594406
719,AK,Houston city,50438.0
720,AK,Hughes city,32500.0
721,AK,Huslia city,42000.0
722,AK,Hydaburg city,31250.0
723,AK,Hyder CDP,52099.594405594406
724,AK,Igiugig CDP,51250.0
725,AK,Iliamna CDP,68750.0
726,AK,Ivanof Bay CDP,52099.594405594406
727,AK,Juneau city and borough,85746.0
728,AK,Kachemak city,70625.0
729,AK,Kake city,40417.0
730,AK,Kaktovik city,48125.0
731,AK,Kalifornsky CDP,72335.0
732,AK,Kaltag city,28750.0
733,AK,Karluk CDP,20938.0
734,AK,Kasaan city,49286.0
735,AK,Kasigluk CDP,43750.0
736,AK,Kasilof CDP,65893.0
737,AK,Kenai city,62236.0
738,AK,Kenny Lake CDP,52099.594405594406
739,AK,Ketchikan city,53111.0
740,AK,Kiana city,41250.0
741,AK,King Cove city,63667.0
742,AK,King Salmon CDP,81563.0
743,AK,Kipnuk CDP,34583.0
744,AK,Kivalina city,52917.0
745,AK,Klawock city,38125.0
746,AK,Klukwan CDP,50000.0
747,AK,Knik-Fairview CDP,82858.0
748,AK,Knik River CDP,68250.0
749,AK,Kobuk city,43333.0
750,AK,Kodiak city,62934.0
751,AK,Kodiak Station CDP,61923.0
752,AK,Kokhanok CDP,32083.0
753,AK,Koliganek CDP,40000.0
754,AK,Kongiganak CDP,37679.0
755,AK,Kotlik city,39583.0
756,AK,Kotzebue city,87708.0
757,AK,Koyuk city,33182.0
758,AK,Koyukuk city,17083.0
759,AK,Kupreanof city,52083.0
760,AK,Kwethluk city,44063.0
761,AK,Kwigillingok CDP,42188.0
762,AK,Lake Louise CDP,52099.594405594406
763,AK,Lake Minchumina CDP,82813.0
764,AK,Lakes CDP,83574.0
765,AK,Larsen Bay city,47917.0
766,AK,Lazy Mountain CDP,82109.0
767,AK,Levelock CDP,37813.0
768,AK,Lime Village CDP,52099.594405594406
769,AK,Livengood CDP,52099.594405594406
770,AK,Loring CDP,52099.594405594406
771,AK,Lowell Point CDP,52099.594405594406
772,AK,Lower Kalskag city,30536.0
773,AK,Lutak CDP,52099.594405594406
774,AK,McCarthy CDP,52099.594405594406
775,AK,McGrath city,64792.0
776,AK,McKinley Park CDP,78750.0
777,AK,Manley Hot Springs CDP,54375.0
778,AK,Manokotak city,36667.0
779,AK,Marshall city,36875.0
780,AK,Meadow Lakes CDP,65850.0
781,AK,Mekoryuk city,24750.0
782,AK,Mendeltna CDP,52099.594405594406
